conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1917566086180135193,Wed Apr 30 13:05:56 +0000 2025,0,btw emang beneran enak ya kalau kita selalu punya pikiran positif setiap harinya beneran setelah menerapkan ini tuh aku jadi merasa lebih lancar hari hari nya. mood nya juga semakin baik walo lagi mens dan dilepen:',1917566086180135193,,,in,,0,0,0,https://x.com/alfianayt/status/1917566086180135193,1041911822733869057,alfianayt
1914657152528212025,Tue Apr 22 12:45:58 +0000 2025,0,@togethur Merasa bersalah karena aku agak setuju sama si TS pertama alias pernah ngalamin sumpeknya ngadepin orang yang gak punya interest apa-apa hari-hari kerjaannya ngeluh doang. Lagi bosen dan dikasih saran ngelakuin ini itu jawabannya antara gak suka atau gak mood. Wkwk. ,1914661961511346444,,togethur,in,,0,1,0,https://x.com/morsmorden/status/1914661961511346444,1592564536644468737,morsmorden
1914283269685973394,Mon Apr 21 11:41:11 +0000 2025,0,LDM ni bnr2 bisa bkin mood naik turun ya. KIo Igi setrong aku merasa kuat menghadapi LDM sampe sethn ke dpn. Tp Iain hari aku akn merasa tersiksa sedih rindu gak abis2 sampe nyepam suami yg Igi kerja tiap jam neIp ato chat pokoknya nyari perhatian. Huhu. Sampe kpn ya ini?,1914283269685973394,,,in,,0,0,0,https://x.com/sheila_sevenia/status/1914283269685973394,1312005651330023426,sheila_sevenia
1910147964443721889,Thu Apr 10 01:48:58 +0000 2025,0,gak mood bgt KENAPA AKU MERASA JELEK HARI-HARI INI apakah karena luteal phase apakah bisa cantik kembali.....,1910147964443721889,,,in,,0,0,0,https://x.com/chitavtos/status/1910147964443721889,769401602952265728,chitavtos
1908811645922705496,Sun Apr 06 09:18:55 +0000 2025,0,Mood sweet food udah banyak drop. Tapi aku hari ini merasa kangen rasa martabak yang cokelat kacang wijen Aku mau gas deh buy Martabak Pecenongan,1908811645922705496,,,in,,1,2,0,https://x.com/belenboi/status/1908811645922705496,1823647606289129476,belenboi
1906131448366850171,Sat Mar 29 23:51:46 +0000 2025,8,Ketika ada something bad happens aku gak akan mikir aduh hari ini sial bgt karena alam bawah sadarku udah percaya kalau aku lagi hidup di timeline terbaikku aku jadi merasa oh mungkin ini jalan menuju diriku yg terbaik nantinya Dijamin good mood tiap hari ,1906132203123445764,,harlizadea,in,,0,0,1,https://x.com/harlizadea/status/1906132203123445764,1404128263681691653,harlizadea
1905062253298413839,Thu Mar 27 01:00:10 +0000 2025,0,Pulang jaga malam pas absen ada yg nyapa dan bilang selamat istirahat.. seketika mood lelah jaga malam menghilang. Dan mood pagi ini . Apakah aku sudah berada di tahap hopeless romantic atau merasa di hargai atas kerja keras hari ini setelah semua huru-hara di tempat kerja?,1905062253298413839,,,in,Kalimantan Timur,0,0,0,https://x.com/Bungafrepita/status/1905062253298413839,967606098986348544,Bungafrepita
1903051109914251668,Fri Mar 21 11:48:36 +0000 2025,0,Hari ini perasaanku sedih terus rasanya. Aku tidak mood untuk melakukan apapun.,1903051109914251668,,,in,,0,1,0,https://x.com/sncwblush/status/1903051109914251668,1246820321543335942,sncwblush
1902637026866032980,Thu Mar 20 08:23:11 +0000 2025,0,hai hari ini aku bosen mood aku datar banget aku juga sedih aku merasa kesepian banget tapi aku senang masih bisa interaksi sama dia,1902637026866032980,,,in,ProTuru-ers,0,0,0,https://x.com/BebekNyasar17/status/1902637026866032980,1483863693134041090,BebekNyasar17
1893669702754279631,Sun Feb 23 14:30:14 +0000 2025,0,Aku hari ini abis betantem sm adek tapi kayanya dia ga merasa aku marah Jadi ngerusak mood smeoga besok moodku membaikkk Mau hype hatuha dengan riangg,1893669702754279631,,,in,"Seoul, Republic of Korea",0,3,0,https://x.com/carmentohearts/status/1893669702754279631,1878455494085632000,carmentohearts
